Date,BFSI
Jan-00,0.006
Jan-00,0.01
Jan-00,0.013
Jan-00,0.014
Jan-00,0.012
Jan-00,0.007
Jan-00,0.001
Jan-00,-0.005
Jan-00,-0.013
Jan-00,-0.019
Jan-00,-0.023
Jan-00,-0.026
Jan-00,-0.028
Jan-00,-0.031
Jan-00,-0.033
Jan-00,-0.035
Jan-00,-0.039
Jan-00,-0.043
Jan-00,-0.048
Jan-00,-0.054
Jan-00,-0.062
Feb-00,-0.071
Feb-00,-0.079
Feb-00,-0.087
Feb-00,-0.095
Feb-00,-0.102
Feb-00,-0.11
Feb-00,-0.118
Feb-00,-0.127
Feb-00,-0.131
Feb-00,-0.134
Feb-00,-0.137
Feb-00,-0.139
Feb-00,-0.143
Feb-00,-0.151
Feb-00,-0.161
Feb-00,-0.169
Feb-00,-0.177
Feb-00,-0.182
Feb-00,-0.185
Feb-00,-0.188
Feb-00,-0.193
Mar-00,-0.196
Mar-00,-0.2
Mar-00,-0.205
Mar-00,-0.21
Mar-00,-0.214
Mar-00,-0.219
Mar-00,-0.224
Mar-00,-0.228
Mar-00,-0.231
Mar-00,-0.233
Mar-00,-0.235
Mar-00,-0.236
Mar-00,-0.235
Mar-00,-0.233
Mar-00,-0.231
Mar-00,-0.23
Mar-00,-0.228
Mar-00,-0.229
Mar-00,-0.229
Mar-00,-0.225
Mar-00,-0.22
Mar-00,-0.211
Mar-00,-0.2
Apr-00,-0.189
Apr-00,-0.178
Apr-00,-0.166
Apr-00,-0.156
Apr-00,-0.147
Apr-00,-0.139
Apr-00,-0.135
Apr-00,-0.133
Apr-00,-0.13
Apr-00,-0.122
Apr-00,-0.113
Apr-00,-0.101
Apr-00,-0.089
Apr-00,-0.078
Apr-00,-0.072
Apr-00,-0.069
Apr-00,-0.066
Apr-00,-0.062
Apr-00,-0.057
Apr-00,-0.048
May-00,-0.037
May-00,-0.022
May-00,-0.005
May-00,0.016
May-00,0.037
May-00,0.059
May-00,0.08
May-00,0.096
May-00,0.105
May-00,0.11
May-00,0.111
May-00,0.108
May-00,0.107
May-00,0.109
May-00,0.118
May-00,0.133
May-00,0.154
May-00,0.178
May-00,0.201
May-00,0.221
May-00,0.236
May-00,0.25
May-00,0.265
Jun-00,0.279
Jun-00,0.29
Jun-00,0.296
Jun-00,0.293
Jun-00,0.279
Jun-00,0.259
Jun-00,0.238
Jun-00,0.22
Jun-00,0.208
Jun-00,0.203
Jun-00,0.201
Jun-00,0.201
