Date,BFSI
1-Jan,0.2
2-Jan,0.195
3-Jan,0.189
4-Jan,0.182
5-Jan,0.175
8-Jan,0.166
9-Jan,0.159
10-Jan,0.154
11-Jan,0.151
12-Jan,0.151
15-Jan,0.154
16-Jan,0.158
17-Jan,0.162
18-Jan,0.166
19-Jan,0.171
22-Jan,0.175
23-Jan,0.18
24-Jan,0.184
25-Jan,0.188
26-Jan,0.191
29-Jan,0.195
30-Jan,0.2
31-Jan,0.206
1-Feb,0.213
2-Feb,0.223
5-Feb,0.24
6-Feb,0.262
7-Feb,0.288
8-Feb,0.321
9-Feb,0.356
12-Feb,0.38
13-Feb,0.397
14-Feb,0.409
15-Feb,0.409
16-Feb,0.398
19-Feb,0.389
20-Feb,0.377
21-Feb,0.365
22-Feb,0.356
23-Feb,0.352
26-Feb,0.35
27-Feb,0.352
28-Feb,0.355
1-Mar,0.362
2-Mar,0.37
5-Mar,0.38
6-Mar,0.39
7-Mar,0.399
8-Mar,0.404
9-Mar,0.406
12-Mar,0.406
13-Mar,0.405
14-Mar,0.404
15-Mar,0.404
16-Mar,0.406
19-Mar,0.41
20-Mar,0.417
21-Mar,0.426
22-Mar,0.441
23-Mar,0.462
26-Mar,0.482
27-Mar,0.504
28-Mar,0.525
29-Mar,0.539
30-Mar,0.546
2-Apr,0.551
3-Apr,0.554
4-Apr,0.552
5-Apr,0.551
6-Apr,0.552
9-Apr,0.551
10-Apr,0.55
11-Apr,0.55
12-Apr,0.549
13-Apr,0.546
16-Apr,0.542
17-Apr,0.534
18-Apr,0.523
19-Apr,0.512
20-Apr,0.502
23-Apr,0.495
24-Apr,0.493
25-Apr,0.495
26-Apr,0.501
27-Apr,0.506
30-Apr,0.512
1-May,0.517
2-May,0.518
3-May,0.519
4-May,0.52
7-May,0.522
8-May,0.525
9-May,0.528
10-May,0.529
11-May,0.527
14-May,0.521
15-May,0.513
16-May,0.505
17-May,0.498
18-May,0.496
21-May,0.497
22-May,0.499
23-May,0.501
24-May,0.503
25-May,0.503
29-May,0.502
30-May,0.502
31-May,0.504
1-Jun,0.508
4-Jun,0.511
5-Jun,0.512
6-Jun,0.514
7-Jun,0.513
8-Jun,0.51
11-Jun,0.509
12-Jun,0.509
13-Jun,0.51
14-Jun,0.511
15-Jun,0.512
18-Jun,0.51
19-Jun,0.513
20-Jun,0.511
21-Jun,0.512
22-Jun,0.514
25-Jun,0.519
26-Jun,0.525
27-Jun,0.533
28-Jun,0.541
29-Jun,0.55
2-Jul,0.556
3-Jul,0.561
5-Jul,0.568
6-Jul,0.567
9-Jul,0.564
10-Jul,0.559
11-Jul,0.553
12-Jul,0.546
13-Jul,0.538
16-Jul,
17-Jul,
18-Jul,
19-Jul,
20-Jul,
23-Jul,
24-Jul,
25-Jul,
26-Jul,
27-Jul,
