Date, 2018Q1 GDP Estimate ,Actual (4/27/18)
20-Feb,2.76,2.3
21-Feb,2.8,2.3
22-Feb,2.8,2.3
23-Feb,2.79,2.3
26-Feb,2.78,2.3
27-Feb,2.78,2.3
28-Feb,2.57,2.3
1-Mar,2.57,2.3
2-Mar,2.8,2.3
5-Mar,2.76,2.3
6-Mar,2.77,2.3
7-Mar,2.65,2.3
8-Mar,2.74,2.3
9-Mar,2.62,2.3
12-Mar,2.6,2.3
13-Mar,2.59,2.3
14-Mar,2.43,2.3
15-Mar,2.44,2.3
16-Mar,2.45,2.3
19-Mar,2.39,2.3
20-Mar,2.4,2.3
21-Mar,2.4,2.3
22-Mar,2.39,2.3
23-Mar,2.4,2.3
26-Mar,2.44,2.3
27-Mar,2.44,2.3
28-Mar,2.49,2.3
29-Mar,2.63,2.3
30-Mar,2.63,2.3
2-Apr,2.71,2.3
3-Apr,2.72,2.3
4-Apr,2.64,2.3
5-Apr,2.57,2.3
6-Apr,2.59,2.3
9-Apr,2.6,2.3
10-Apr,2.54,2.3
11-Apr,2.55,2.3
12-Apr,2.55,2.3
13-Apr,2.54,2.3
16-Apr,2.53,2.3
17-Apr,2.56,2.3
18-Apr,2.55,2.3
19-Apr,2.52,2.3
20-Apr,2.51,2.3
23-Apr,2.55,2.3
24-Apr,2.52,2.3
25-Apr,2.48,2.3
26-Apr,2.51,2.3
