Date, 2018Q1 GDP Estimate 
20-Feb,2.76
21-Feb,2.8
22-Feb,2.8
23-Feb,2.79
24-Feb,2.79
25-Feb,2.79
26-Feb,2.78
27-Feb,2.78
28-Feb,2.57
1-Mar,2.57
2-Mar,2.8
3-Mar,2.8
4-Mar,2.8
5-Mar,2.76
6-Mar,2.77
7-Mar,2.65
8-Mar,2.74
9-Mar,2.62
10-Mar,2.62
11-Mar,2.62
12-Mar,2.6
13-Mar,2.59
14-Mar,2.43
15-Mar,2.44
16-Mar,2.45
17-Mar,2.45
18-Mar,2.45
19-Mar,2.39
20-Mar,2.4
21-Mar,2.4
22-Mar,2.39
23-Mar,2.4
24-Mar,2.4
25-Mar,2.4
26-Mar,2.44
27-Mar,2.44
28-Mar,2.49
29-Mar,2.63
30-Mar,2.63
31-Mar,2.63
1-Apr,2.63
2-Apr,2.71
3-Apr,2.72
4-Apr,2.64
5-Apr,2.57
6-Apr,2.59
7-Apr,2.59
8-Apr,2.59
9-Apr,2.6
10-Apr,2.54
11-Apr,2.55
12-Apr,2.55
13-Apr,2.54
14-Apr,2.54
15-Apr,2.54
16-Apr,2.53
17-Apr,2.56
18-Apr,2.55
19-Apr,2.52
20-Apr,2.51
21-Apr,2.51
22-Apr,2.51
23-Apr,2.55
24-Apr,2.52
25-Apr,2.48
26-Apr,2.51
